datetime,open,high,low,close,volume
2019-05-06T13:00:00.000000000Z,0.85447,0.85566,0.85421,0.85529,3321
2019-05-06T17:00:00.000000000Z,0.85527,0.85558,0.85498,0.85502,1179
2019-05-06T21:00:00.000000000Z,0.85496,0.85536,0.85446,0.85464,793
2019-05-07T01:00:00.000000000Z,0.85466,0.85475,0.85386,0.8545,946
2019-05-07T05:00:00.000000000Z,0.85448,0.85592,0.8538,0.855,3954
2019-05-07T09:00:00.000000000Z,0.85498,0.8569,0.8546,0.85687,3058
2019-05-07T13:00:00.000000000Z,0.85689,0.85813,0.8557,0.8558,3685
2019-05-07T17:00:00.000000000Z,0.85577,0.85646,0.85541,0.85624,1698
2019-05-07T21:00:00.000000000Z,0.85614,0.85644,0.85588,0.85606,836
2019-05-08T01:00:00.000000000Z,0.85608,0.85719,0.85608,0.8571,1168
2019-05-08T05:00:00.000000000Z,0.85707,0.85947,0.85697,0.85858,3451
2019-05-08T09:00:00.000000000Z,0.8586,0.86148,0.85824,0.86102,4244
2019-05-08T13:00:00.000000000Z,0.86099,0.86238,0.86008,0.86028,4493
2019-05-08T17:00:00.000000000Z,0.8603,0.86084,0.86,0.86038,1429
2019-05-08T21:00:00.000000000Z,0.86048,0.86098,0.86005,0.86007,1214
2019-05-09T01:00:00.000000000Z,0.86009,0.86063,0.85995,0.8603,998
2019-05-09T05:00:00.000000000Z,0.86028,0.86138,0.85973,0.86124,3405
2019-05-09T09:00:00.000000000Z,0.86126,0.86204,0.86066,0.8619,2685
2019-05-09T13:00:00.000000000Z,0.86192,0.86485,0.86128,0.86128,5546
2019-05-09T17:00:00.000000000Z,0.86131,0.86242,0.86102,0.86218,2017
2019-05-09T21:00:00.000000000Z,0.86202,0.86346,0.86182,0.86321,2037
2019-05-10T01:00:00.000000000Z,0.86319,0.86324,0.86236,0.86315,1384
2019-05-10T05:00:00.000000000Z,0.86313,0.86396,0.86208,0.86346,3044
2019-05-10T09:00:00.000000000Z,0.86348,0.8637,0.86196,0.8631,3110
2019-05-10T13:00:00.000000000Z,0.86313,0.86345,0.86208,0.86259,3904
2019-05-10T17:00:00.000000000Z,0.86256,0.8642,0.86232,0.86402,1526
2019-05-12T21:00:00.000000000Z,0.86362,0.86456,0.86328,0.86344,1008
2019-05-13T01:00:00.000000000Z,0.8634,0.8637,0.863,0.86326,669
2019-05-13T05:00:00.000000000Z,0.86328,0.86412,0.86296,0.86324,2189
2019-05-13T09:00:00.000000000Z,0.86327,0.86408,0.86244,0.86382,3522
2019-05-13T13:00:00.000000000Z,0.86379,0.86802,0.86311,0.86774,5026
2019-05-13T17:00:00.000000000Z,0.86776,0.86806,0.86598,0.86602,2058
2019-05-13T21:00:00.000000000Z,0.86622,0.86776,0.86582,0.86654,1011
2019-05-14T01:00:00.000000000Z,0.86656,0.8674,0.86644,0.86735,945
2019-05-14T05:00:00.000000000Z,0.86733,0.86916,0.86708,0.86818,2733
2019-05-14T09:00:00.000000000Z,0.86822,0.86844,0.86636,0.8674,3688
2019-05-14T13:00:00.000000000Z,0.86743,0.86858,0.86714,0.86785,3643
2019-05-14T17:00:00.000000000Z,0.86788,0.86876,0.86784,0.86818,1439
2019-05-14T21:00:00.000000000Z,0.86814,0.86826,0.86766,0.86772,474
2019-05-15T01:00:00.000000000Z,0.86774,0.86816,0.86768,0.8681,664
2019-05-15T05:00:00.000000000Z,0.86807,0.86874,0.86758,0.86834,2208
2019-05-15T09:00:00.000000000Z,0.86838,0.87004,0.86688,0.86975,4042
2019-05-15T13:00:00.000000000Z,0.86978,0.87368,0.86961,0.87115,6546
2019-05-15T17:00:00.000000000Z,0.87111,0.87252,0.87108,0.87224,1226
2019-05-15T21:00:00.000000000Z,0.87218,0.8726,0.87188,0.87231,600
2019-05-16T01:00:00.000000000Z,0.87233,0.87269,0.87214,0.8723,676
2019-05-16T05:00:00.000000000Z,0.87228,0.87434,0.87224,0.87413,1950
2019-05-16T09:00:00.000000000Z,0.8741,0.8748,0.87334,0.8743,2954
2019-05-16T13:00:00.000000000Z,0.87428,0.87448,0.87285,0.87351,3381
2019-05-16T17:00:00.000000000Z,0.87353,0.874,0.87288,0.87314,1396
2019-05-16T21:00:00.000000000Z,0.87332,0.87422,0.87299,0.87408,580
2019-05-17T01:00:00.000000000Z,0.87406,0.87422,0.8736,0.87395,605
2019-05-17T05:00:00.000000000Z,0.87398,0.87488,0.87352,0.87414,2595
2019-05-17T09:00:00.000000000Z,0.87416,0.87656,0.87412,0.87644,3805
2019-05-17T13:00:00.000000000Z,0.87642,0.87788,0.87568,0.87696,3830
2019-05-17T17:00:00.000000000Z,0.87694,0.87752,0.87675,0.87722,2026
2019-05-19T21:00:00.000000000Z,0.87582,0.87744,0.87582,0.87639,646
2019-05-20T01:00:00.000000000Z,0.87641,0.8766,0.87578,0.8759,488
2019-05-20T05:00:00.000000000Z,0.87588,0.87666,0.87502,0.87525,2427
2019-05-20T09:00:00.000000000Z,0.87527,0.8766,0.87496,0.87658,2219
2019-05-20T13:00:00.000000000Z,0.8766,0.87846,0.87621,0.8778,2668
2019-05-20T17:00:00.000000000Z,0.87782,0.87804,0.8773,0.87754,851
2019-05-20T21:00:00.000000000Z,0.87758,0.87771,0.87722,0.87724,522
2019-05-21T01:00:00.000000000Z,0.87727,0.87744,0.87702,0.87712,423
2019-05-21T05:00:00.000000000Z,0.8771,0.87888,0.87643,0.87808,2595
2019-05-21T09:00:00.000000000Z,0.87805,0.87868,0.87524,0.87598,4180
2019-05-21T13:00:00.000000000Z,0.87596,0.87718,0.87246,0.87668,11060
2019-05-21T17:00:00.000000000Z,0.87671,0.87894,0.87644,0.87851,1726
2019-05-21T21:00:00.000000000Z,0.87832,0.8789,0.87777,0.87777,661
2019-05-22T01:00:00.000000000Z,0.87779,0.878,0.87744,0.8775,470
2019-05-22T05:00:00.000000000Z,0.87752,0.88134,0.87724,0.88127,3515
2019-05-22T09:00:00.000000000Z,0.88124,0.88322,0.881,0.88242,3276
2019-05-22T13:00:00.000000000Z,0.88245,0.88398,0.87946,0.88025,5973
2019-05-22T17:00:00.000000000Z,0.88027,0.88126,0.87913,0.88062,2145
2019-05-22T21:00:00.000000000Z,0.88086,0.88152,0.88076,0.88131,947
2019-05-23T01:00:00.000000000Z,0.88134,0.88181,0.88118,0.88168,589
